iter	Passed	Remaining
417	2825	3934
418	2832	3927
419	2839	3920
420	2846	3914
421	2853	3908
422	2860	3901
423	2867	3895
424	2873	3888
425	2880	3881
426	2887	3874
427	2894	3868
428	2901	3862
429	2908	3855
430	2915	3849
431	2922	3842
432	2928	3835
433	2935	3828
434	2942	3821
435	2949	3814
436	2955	3808
437	2962	3801
438	2969	3794
439	2976	3787
440	2982	3781
441	2989	3774
442	2996	3767
443	3002	3760
444	3009	3753
445	3016	3746
446	3023	3740
447	3030	3733
448	3036	3726
449	3043	3719
450	3050	3712
451	3057	3706
452	3064	3699
453	3070	3693
454	3077	3686
455	3084	3679
456	3091	3673
457	3098	3666
458	3105	3659
459	3112	3653
460	3118	3646
461	3125	3639
462	3132	3633
463	3139	3626
464	3146	3619
465	3152	3612
466	3159	3606
467	3166	3599
468	3173	3592
469	3180	3586
470	3186	3579
471	3193	3572
472	3200	3566
473	3207	3559
474	3213	3552
475	3220	3545
476	3227	3538
477	3234	3531
478	3241	3525
479	3247	3518
480	3254	3511
481	3261	3504
482	3267	3498
483	3274	3491
484	3281	3484
485	3288	3477
486	3295	3471
487	3302	3464
488	3309	3458
489	3316	3452
490	3323	3445
491	3330	3438
492	3336	3431
493	3343	3425
494	3350	3418
495	3357	3411
496	3363	3404
497	3370	3397
498	3377	3391
499	3384	3384
500	3391	3377
501	3398	3371
502	3404	3364
503	3411	3357
504	3417	3350
505	3424	3343
506	3431	3336
507	3438	3329
508	3442	3320
509	3449	3314
510	3456	3307
511	3463	3300
512	3470	3294
513	3476	3287
514	3483	3280
515	3490	3274
516	3497	3267
517	3504	3260
518	3511	3254
519	3518	3247
520	3524	3240
521	3531	3233
522	3538	3226
523	3545	3220
524	3551	3213
525	3558	3206
526	3565	3199
527	3572	3193
528	3579	3186
529	3585	3179
530	3592	3173
531	3599	3166
532	3605	3159
533	3612	3152
534	3619	3145
535	3625	3138
536	3632	3131
537	3639	3125
538	3646	3118
539	3653	3112
540	3660	3105
541	3666	3098
542	3673	3091
543	3680	3084
544	3686	3078
545	3693	3071
546	3700	3064
547	3707	3057
548	3714	3051
549	3720	3044
550	3727	3037
551	3734	3030
552	3741	3024
553	3747	3017
554	3754	3010
555	3761	3003
556	3764	2994
557	3771	2987
558	3778	2981
559	3785	2974
560	3792	2968
561	3800	2961
562	3806	2954
563	3813	2948
564	3820	2941
565	3826	2934
566	3833	2927
567	3840	2920
568	3846	2913
569	3853	2907
570	3860	2900
571	3867	2893
572	3874	2887
573	3881	2880
574	3888	2873
575	3895	2867
576	3902	2860
577	3909	2854
