iter	Logloss
0	0.6907798343
1	0.6883692
2	0.685707389
3	0.6831067827
4	0.68073349
5	0.678215154
6	0.6757763333
7	0.6732802497
8	0.6708616469
9	0.6684441461
10	0.6664041307
11	0.6636850145
12	0.6614046733
13	0.6592817518
14	0.6570635478
15	0.6550595601
16	0.6531316969
17	0.6509764777
18	0.6486772325
19	0.6463856167
20	0.6442509121
21	0.642143631
22	0.6401853773
23	0.638085768
24	0.63612264
25	0.6341014438
26	0.6321060181
27	0.6301595476
28	0.6280029297
29	0.6258088006
30	0.6238084581
31	0.6219973246
32	0.6201540205
33	0.6183661567
34	0.6163427141
35	0.6146502177
36	0.6129015605
37	0.6113434262
38	0.6096851773
39	0.6078109741
40	0.6062396579
41	0.6046048058
42	0.602985043
43	0.6010577732
44	0.5994053311
45	0.5977269491
46	0.5960991753
47	0.5943445841
48	0.5927809821
49	0.5912977431
50	0.5899340312
51	0.5885326809
52	0.5872042338
53	0.5858027988
54	0.5842511495
55	0.5830651601
56	0.5817041185
57	0.5803080665
58	0.5787634956
59	0.5775497437
60	0.5762152354
61	0.5748628828
62	0.5735501607
63	0.572261556
64	0.5710281372
65	0.5696165721
66	0.5681889852
67	0.5671421475
68	0.5657353719
69	0.5644634671
70	0.5633883158
71	0.5620897081
72	0.5606614007
73	0.5596077813
74	0.5582374573
75	0.5571557363
76	0.5559950935
77	0.5547373454
78	0.5535754734
79	0.5523325602
80	0.5512595707
81	0.5501377106
82	0.5490684509
83	0.5479023827
84	0.5469473945
85	0.5459009806
86	0.5449247148
87	0.5438452827
88	0.5430358887
89	0.5419578128
90	0.5408902486
91	0.5398579068
92	0.5388265822
93	0.537608846
94	0.5367449019
95	0.5359009213
96	0.5350036621
97	0.5340040843
98	0.5331988864
99	0.5321462843
100	0.5314199236
101	0.5306780497
102	0.5296877119
103	0.5287331475
104	0.5281231774
105	0.5271964603
106	0.5262493981
107	0.525425805
108	0.5245295631
109	0.523613188
110	0.5227250841
111	0.5219773187
112	0.5211086697
113	0.5202167935
114	0.5194027371
115	0.5184346517
116	0.5176458995
117	0.5167472839
118	0.5160129123
119	0.5152053409
120	0.5143029107
121	0.5134781731
122	0.5126508925
123	0.511785041
124	0.5110334184
125	0.5101401859
126	0.5094895681
127	0.5086673313
128	0.5078723484
129	0.5072622935
130	0.5065849304
131	0.5059988234
132	0.5054040697
133	0.5047442118
134	0.504143948
135	0.5032772912
136	0.5028205872
137	0.5022098117
138	0.5018880208
139	0.5013028463
140	0.5006035275
141	0.4998617384
142	0.4991543664
143	0.4984085083
144	0.4976934645
145	0.4971190982
146	0.4966160244
147	0.4961198171
148	0.4954433865
149	0.4948491838
150	0.494293552
151	0.4935439216
152	0.4930383894
153	0.4924018012
154	0.491986635
155	0.491398112
156	0.4907611423
157	0.4901270549
158	0.489441469
159	0.4889653948
160	0.4883633084
161	0.4877716912
162	0.4871805827
163	0.4865697649
164	0.4860028585
165	0.4854568058
166	0.4849892086
167	0.4845759922
168	0.484189309
169	0.4836296505
170	0.4831342909
171	0.4826333364
172	0.4822257996
173	0.4815402561
174	0.4810212029
175	0.4805259705
176	0.4799635569
177	0.4793138716
178	0.4788159264
179	0.4782792833
180	0.4777891371
181	0.4773829142
182	0.4768845452
183	0.4764640808
184	0.4760448032
185	0.4756120046
186	0.4749904633
187	0.4745385488
188	0.4739919874
189	0.4736150954
190	0.4730565389
191	0.4727099525
192	0.4723618401
193	0.4719003889
194	0.471414778
195	0.4709994846
196	0.4705375248
197	0.4701499091
198	0.4697038015
199	0.46929245
200	0.4687999301
201	0.468407864
202	0.4680277507
203	0.4678098043
204	0.467484453
205	0.4669962565
206	0.4665254805
207	0.4661037869
208	0.4657473246
209	0.4653378805
210	0.4650713179
211	0.4646341112
212	0.4642737495
213	0.4637157016
214	0.4633616977
215	0.46293691
216	0.4626083798
217	0.4622132195
218	0.4618510352
219	0.4614726173
220	0.4609644572
221	0.4606381734
222	0.4602737427
223	0.4600082397
224	0.4597759671
225	0.4595219082
226	0.459179518
227	0.4588612027
228	0.4584715525
229	0.4581804487
230	0.4579510159
231	0.4575823466
232	0.4573498196
233	0.4570249346
234	0.4567306095
235	0.4563858032
236	0.4559743245
237	0.4555984497
238	0.4552880181
239	0.4549467299
240	0.4546312968
241	0.4542833116
242	0.4539903853
243	0.4536208683
244	0.4532394833
245	0.4528649224
246	0.4526023865
247	0.4523251004
248	0.451938502
249	0.4515912374
250	0.4511784024
251	0.4509325239
252	0.450539483
253	0.4502585517
254	0.4499801636
255	0.4496339162
256	0.4493633694
257	0.4491539001
258	0.4489538829
259	0.4487254673
260	0.4484336005
261	0.4481487698
262	0.4478402032
263	0.4475498623
264	0.4472422282
265	0.4469865587
266	0.4467300415
267	0.4464432187
268	0.4461861504
269	0.4458577474
270	0.4455395593
271	0.4452487098
272	0.4449467129
273	0.4446416643
274	0.4443264431
275	0.4440495809
276	0.4436651442
277	0.4434485541
278	0.4431512621
279	0.4428955078
280	0.4425676134
281	0.4423006694
282	0.4419788784
283	0.4416617923
284	0.4414868673
285	0.4412137349
286	0.440945265
287	0.4407169342
288	0.4405058119
289	0.4403209262
290	0.4401182387
291	0.4398029751
292	0.4396665785
293	0.4394021776
294	0.4391102261
295	0.438892195
296	0.4386256748
297	0.4383973863
298	0.4381492615
299	0.4378847758
300	0.437604777
301	0.4373935276
302	0.4370010376
303	0.4368171268
304	0.4365888808
305	0.4362498813
306	0.4360088772
307	0.4358271281
308	0.4356702593
309	0.4353727976
310	0.4351147122
311	0.4348222944
312	0.4345488654
313	0.4343217638
314	0.4340178596
315	0.4337463379
316	0.4334081862
317	0.4331496345
318	0.4329433865
319	0.4328060998
320	0.4324942695
321	0.432381524
322	0.4320846134
323	0.4319173601
324	0.4316843245
325	0.4315004137
326	0.4312848409
327	0.4310499403
328	0.4308449639
329	0.4306680891
330	0.4304223802
331	0.4300906711
332	0.4299131605
333	0.4297191196
334	0.4294516246
335	0.4292288038
336	0.4289848328
337	0.4288093143
338	0.4286350674
339	0.4284626431
340	0.4282277425
341	0.4279548645
342	0.4277223375
343	0.4274645487
344	0.4272412618
345	0.427019967
346	0.4268378364
347	0.4266242981
348	0.42639495
349	0.4262107849
350	0.4260314941
351	0.425771247
352	0.4255469004
353	0.4253215366
354	0.4251880646
355	0.4249623617
356	0.4248135885
357	0.4246354845
358	0.4244828118
359	0.4242915259
360	0.4241209242
361	0.4239582062
362	0.4237993028
363	0.4236284892
364	0.4234942118
365	0.4233487871
366	0.4232042101
367	0.4229915195
368	0.4228539785
369	0.4226836734
370	0.4225210402
371	0.422365231
372	0.4221722073
373	0.4218980577
374	0.4217420366
375	0.4215541416
376	0.4213327196
377	0.4211125692
378	0.4208874596
379	0.4206839667
380	0.4205265469
381	0.4203444163
382	0.420193651
383	0.4200135973
384	0.419813029
385	0.4195828756
386	0.4193775601
387	0.4192515903
388	0.4190172831
389	0.4188146379
390	0.4186459859
391	0.4184754266
392	0.4182607863
393	0.4179889679
394	0.4178222656
395	0.4175708771
396	0.4174278259
397	0.4172831641
398	0.4171146817
399	0.4169620514
400	0.4167910258
401	0.4166077084
402	0.4164675395
403	0.4163102044
404	0.4161610074
405	0.4159169515
406	0.415734058
407	0.4156066895
408	0.4154813131
409	0.415282864
410	0.4151375665
411	0.4149904887
412	0.4148286608
413	0.4146550496
414	0.4145534939
415	0.4143714057
416	0.4141971164
417	0.414073605
418	0.4139827304
419	0.4138477749
420	0.413698366
421	0.413505639
422	0.4133207109
423	0.4132011837
424	0.4129853566
425	0.412811025
426	0.4127229479
427	0.4125497606
428	0.4124198914
429	0.4123124864
430	0.412116411
431	0.4120145586
432	0.411894989
433	0.4117223104
434	0.4115799374
435	0.4114437527
436	0.4112403022
437	0.4110496521
438	0.4108876546
439	0.41071718
440	0.4105937958
441	0.4104156494
442	0.4103001065
443	0.4101563348
444	0.4100370195
445	0.4098946465
446	0.4097823249
447	0.4096557617
448	0.4094905429
449	0.4093908522
450	0.4092587789
451	0.4090794881
452	0.4089558919
453	0.4088257684
454	0.4086526235
455	0.4085155911
456	0.4083824582
457	0.4082309723
458	0.4080481211
459	0.4079569923
460	0.4078191121
461	0.4076563093
462	0.4075676812
463	0.4074329376
464	0.4072999318
465	0.4071808709
466	0.4070417192
467	0.4069169786
468	0.4067813449
469	0.4066292657
470	0.4064745585
471	0.4063546075
472	0.406223721
473	0.4060579936
474	0.4059602949
475	0.4058144463
476	0.4056384616
477	0.4055217743
478	0.4054193285
479	0.4053072611
480	0.4051673041
481	0.4049807654
482	0.4048557705
483	0.4047019535
484	0.4045874702
485	0.4044309404
486	0.4043036143
487	0.4041782379
488	0.4040839301
489	0.4039593167
490	0.4038277944
491	0.4037487454
492	0.4036375258
493	0.4034074995
494	0.4032451206
495	0.4031435649
496	0.4030203925
497	0.402840254
498	0.4027313232
499	0.4025515662
500	0.4024793837
501	0.4023571438
502	0.4022589366
503	0.4021316528
504	0.4020147536
505	0.4018875122
506	0.4017864227
507	0.4016594781
508	0.401589542
509	0.4014936235
510	0.4014027066
511	0.4013190375
512	0.4012086656
513	0.4010846032
514	0.4009526571
515	0.4008305444
516	0.4007462396
517	0.4006192101
518	0.4004543728
519	0.400334888
520	0.4002471076
521	0.4001082102
522	0.3999356164
523	0.3998182509
524	0.3997116937
525	0.3995589786
526	0.3994491153
527	0.3993363274
528	0.3992297702
529	0.3991210937
